date;europe_nbp;japon_gnl;etats_unis_henry_hub
1997-03;4.798546710337768;12.64356874786762;5.622669396110541
1997-08;4.69897550733538;11.908968270214944;7.971585806891845
1998-02;5.071175766632548;10.852070624360286;7.023789150460593
1998-04;4.874213162743091;10.093503923575572;7.657140907540087
1999-02;4.669530204025929;8.463871716137836;5.388867963152507
2000-04;8.431850382804502;16.722996929375636;10.920405322415554
2000-08;8.993670503582393;18.267160696008187;16.644251791197544
2000-10;14.662428105765947;20.11580757420675;20.03598294097577
2001-04;12.45159722006141;18.093581371545547;19.77670522006141
2001-07;10.344413518935516;18.47719413169567;12.291695667007847
2002-01;13.156424404640052;16.26157386557489;8.690864892528147
2002-02;9.555888061412487;16.156275673831455;9.058494370522006
2002-03;8.256092696008187;15.543575230296828;11.80376765609007
2002-08;6.666159578642102;15.17899181166837;10.782318321392015
2002-12;12.724260923234391;15.27872262026612;15.881830092118731
2003-12;15.917763991811665;13.191095189355167;17.013796817195495
2004-06;10.586398198567041;14.166165813715454;17.62785649483321
2005-11;38.72174972091436;19.134946434663938;30.195898142119805
2006-08;17.888379272603206;19.25434595701126;18.628513135448653
2007-04;8.40721788126919;17.897956328897987;19.1535420220606
2007-05;11.411049160696008;18.23105424769703;19.224617061992106
2007-08;12.702509744114634;19.285465711361308;15.517122735974072
2007-11;25.1833614124872;21.236233367451383;16.584074625483215
2008-01;24.901945513476626;23.040723302627086;18.543841692255203
2009-02;18.053120034118045;28.07415080177413;12.059609075400886
2009-04;11.06528553735926;21.00229273285568;9.052195087001023
2010-07;17.146790730126234;30.244599112930736;12.361277584442169
2010-09;19.85581424769703;28.799928352098252;10.193294677584442
2011-09;26.825950426905102;40.79522415151467;9.645721695897223
2012-02;25.009346694277568;40.91213925959894;6.471462585361054
2012-04;24.79433058926601;44.10456022051511;5.051432089181472
2013-11;28.75601526705277;38.91411556349847;9.197881860463275
2014-04;21.317500488523258;41.444730052026436;11.502825613010314
2014-07;16.696849506107153;38.30280394369633;10.19897146429784
2015-01;21.196184729954403;44.359809143204636;8.77221093506494
2015-08;18.9782453195642;26.906896551724138;8.11896551724138
2015-09;20.065444892193355;28.255172413793108;7.796551724137932
2015-10;20.346605430083493;27.66896551724138;6.858620689655172
2016-11;22.530376598162217;22.255344827586207;7.474137931034483
2017-01;24.470964373820678;23.571379310344827;9.672413793103448
2017-05;25.57776102036708;26.663620689655172;9.232758620689655
2018-01;19.66;27.381724137931037;11.343103448275862
2018-02;18.66;28.80034482758621;7.825862068965518
2018-05;19.43;30.043103448275865;8.206896551724139
2019-03;16.0;33.09137931034483;8.646551724137932
2020-11;14.17448275862069;20.095172413793104;7.6499999999999995
2021-01;21.302758620689655;26.39103448275862;7.943103448275863
2021-09;81.3104;33.531;15.1241
2022-01;100.6056;43.0569;12.8379
2022-02;96.9388;49.8276;13.7466
2022-05;106.266;48.8897;23.8586
2022-06;122.286;45.519;22.569
1998-03;4.6528119563288985;10.954011600136472;7.101001705902422
1998-07;5.13269192937564;8.900313886045717;6.800591948140565
1998-08;5.787167413510747;8.703257932446263;5.770977482088024
1998-11;7.206675784715114;8.1532439440464;6.16772374616172
1999-04;4.749585314227225;8.797535312180143;6.853152507676559
1999-09;5.444789219037871;10.885614124872056;8.253570112589559
1999-12;6.661221759126578;13.296525417946091;7.964416240191061
2000-03;6.970964492323438;15.779817809621289;9.871231320368475
2000-07;9.571161020129646;17.64838280450358;14.380163766632545
2001-02;13.57225594541112;17.770644831115657;20.84348549982941
2001-03;12.363610991129308;18.275875469123168;19.364171954964178
2001-05;11.757000589559876;18.17638485158649;16.421154554759468
2001-10;11.250423938928693;17.289626407369497;9.22866769020812
2001-11;13.316604503582395;16.82437052200614;9.065185943364039
2002-05;6.451286109860115;14.911152848857045;12.977537018082566
2002-10;11.85897896622313;15.787768679631524;14.327226202661205
2003-04;7.946898690549301;15.034086659843057;16.63599690030706
2003-06;8.173310075742068;13.953918116683722;16.884840617877856
2004-05;10.62243266939611;13.951536335721595;18.00331361796857
2004-07;10.933357010576593;14.102245649948824;16.490549579737788
2005-02;14.649875736949847;14.628509723643807;16.10905647389969
2007-02;9.699104832480383;17.98005561241897;20.80493372569089
2007-03;10.056673572842033;17.674973729102696;18.353068732354732
2007-07;14.463742019788466;18.059590583418625;15.474803200895531
2008-03;23.63473867076083;24.08358103036506;20.658765219089748
2008-05;25.89718605254179;25.505847833503925;24.629601439151344
2008-11;26.402945342886383;40.35525076765609;17.88520061412487
2009-03;11.990228908222448;24.78513817809621;10.327663800750596
2009-08;8.760317379733879;18.556751961787782;7.527680348004093
2010-03;11.40924278403275;26.20109177755032;10.793240532241553
2010-05;15.062731627430908;30.93292391675196;11.286850904128283
2010-10;19.145647065847832;27.321852610030707;8.42362418969635
2011-08;26.489145821994775;39.053871790464136;9.653688466546498
2011-10;27.054482024925477;41.055051912594095;8.888618035445129
2012-01;23.844578026393002;44.1483178800755;7.054219553548869
2012-07;24.396812676864972;47.20623364622327;8.18494454810398
2012-10;28.99098841454113;38.25870874258252;8.724675878665915
2013-05;26.867171261634002;42.59877984982439;10.61030028318684
2013-07;26.691984126854017;42.149353840940385;9.436033451094879
2013-12;29.23466146402814;40.75436210900263;10.54935868999824
2014-02;25.155100863572336;41.83696765703493;14.977434722088875
2014-06;17.318320891410735;40.46067061289019;11.513606826606694
2014-10;22.5176781422126;42.75116860980443;10.169881519512947
2015-07;20.99652862494242;25.998275862068965;8.324137931034482
2015-11;21.601591423238734;26.056896551724144;6.1258620689655165
2016-03;21.82781646768189;21.19137931034483;5.070689655172414
2016-05;18.3996369480433;17.175862068965518;5.627586206896551
2016-06;18.524521361717806;17.55689655172414;7.591379310344827
2016-08;18.524521361717806;19.55;8.26551724137931
2016-12;24.311514957126427;22.25241379310345;10.522413793103448
2017-08;18.372663961975082;26.1301724137931;8.5
2017-11;22.904125621436442;24.770172413793105;8.822413793103447
2019-02;19.14;34.615517241379315;7.884482758620689
2019-05;12.11;29.75;7.73793103448276
2019-09;12.325000000000001;29.720689655172414;7.50344827586207
2020-03;7.96948275862069;29.925862068965518;5.246551724137932
2020-07;5.278793103448276;22.82103448275862;5.187931034482759
2020-12;17.16413793103448;22.454655172413794;7.591379310344827
2021-05;26.112586206896555;26.133103448275865;8.529310344827588
2021-10;110.538;36.2862;16.15
2022-03;150.9084;44.2879;14.3621
2022-04;114.632;47.7466;19.3448
1997-04;5.076419355168884;12.19875230296827;6.087387205731831
1997-10;7.065130500170589;11.096887069259637;9.318932787444556
1998-09;6.267786706925963;8.132966905493006;5.966154554759467
1998-10;6.5052482975093815;7.8926018423746145;5.4047164790174
1999-05;4.759587422381439;9.245969293756396;7.223413510747184
1999-11;5.459804570112589;12.311799727055613;7.7897714090754
2000-01;7.223361846468782;13.971100307062436;8.14700307062436
2000-11;16.58744931661549;20.44001330603889;22.113464687819853
2000-12;15.87103425588536;19.20981405663596;34.04511600136472
2001-01;14.595558924599114;17.74748277038553;29.712486523370863
2001-06;10.106244506994198;18.755999658819515;14.83683555100648
2002-06;6.413587713408392;14.486484476287954;11.489280791538723
2002-07;6.707130198567042;15.680425793244625;10.247295803480041
2002-09;9.220036531218014;15.514743773456157;12.418752302968269
2003-01;10.45073740873422;15.064484817468442;17.363887308256565
2003-07;8.070970693961105;14.250972364380758;15.016024564994881
2003-11;15.729230404298873;13.761432958034801;13.200188075742066
2004-02;10.82361259877175;12.976497099965881;14.512903565336064
2004-09;14.072857435687478;15.16324257932446;14.35024602213556
2004-10;17.832755166837256;15.16091095189355;17.514722051641083
2005-10;22.682915257591265;18.40090071647902;38.399439895374016
2005-12;46.19271478505629;18.676187308085975;36.91352737973388
2006-03;24.771262927328554;19.527369498464687;19.581050020030748
2006-04;20.447346505629476;19.267811668372566;19.72378874104401
2006-05;17.97025040429887;18.488983964517228;16.560047179325103
2006-07;20.17856177413852;18.452721255544184;16.811881610371888
2006-11;24.373648161037185;19.09629136813374;19.741582767293522
2006-12;20.652539402251787;18.979099283520977;16.985894234062105
2007-06;9.478913490276353;18.077011258955984;18.570615002186038
2007-10;22.68180297850563;20.503080859774823;16.301852061173058
2007-12;25.055761250085293;21.495795291709314;16.741810271152794
2008-04;26.02310184237462;24.73748891163425;21.94807217517476
2008-07;28.349245878539744;26.71830433299215;24.119560055191638
2008-08;23.832713428863862;30.188843398157623;18.796827021494366
2008-09;32.34049825656772;34.16581712726032;18.268858921869665
2008-12;21.79161874138519;34.95681815080177;14.700128433981575
2009-01;21.52180680450358;32.755460934834524;13.507826352780619
2009-09;9.2438582395087;19.72710337768679;6.938692323439098
2009-11;11.659562640736949;20.885926305015353;8.442901228249744
2010-02;13.413517987035142;26.22642101671784;13.301931047424086
2010-12;25.376303855339472;27.742408734220398;10.934625854994335
2011-01;21.91028812691914;29.240276356192425;11.474957011258956
2011-02;22.786994998294098;30.04794950528829;10.186554861821906
2011-03;26.05413514841351;30.46315250767656;9.678265404298875
2011-06;22.75303377686796;34.42988741044012;10.786608665984303
2011-12;22.64595750136618;42.65204338543024;8.18939444902959
2012-08;26.340709765257973;45.44458859522134;7.808863591167707
2012-09;27.399470016884514;42.98949476738082;7.558644719526122
2013-02;27.487444780154743;42.03511750502772;8.498903539267902
2013-06;26.26521704378476;42.93949361193551;9.90115957457634
2013-09;27.51021144650573;38.212884237671844;9.246700597618455
2013-10;27.081164423671158;38.25870874258252;9.202094651810699
2014-01;27.773334831771166;41.760081146384884;11.799039124143539
2014-03;23.970605247255037;40.82296760020898;12.086558383143446
2014-11;24.471880454998796;42.61803131070501;11.262751058377463
2014-12;23.956826698759475;43.18787168878228;9.621881784696694
2015-05;20.55;26.67;8.72
2015-06;20.38;25.85;8.45
2016-02;22.750118571950143;23.47758620689655;5.832758620689655
2016-04;18.9599107383535;18.700000000000003;5.627586206896551
2017-02;24.673993673887892;24.66465517241379;8.35344827586207
2017-09;19.40589140515438;25.33;8.73448275862069
2017-12;21.83728857512343;25.344655172413795;8.26551724137931
2018-06;21.4;30.599999999999998;8.705172413793104
2018-10;27.9;34.17586206896552;9.613793103448275
2019-08;10.777413793103449;31.83103448275862;6.506896551724139
2020-02;8.52344827586207;28.999655172413796;5.598275862068966
2020-04;6.2137931034482765;29.339655172413796;5.1
2020-06;5.135172413793104;26.29431034482759;4.777586206896552
2021-06;30.189655172413797;28.184827586206893;9.555172413793104
2021-08;54.9308;31.6552;11.9293
2021-11;98.3272;44.6983;14.8017
2021-12;135.3868;44.9034;11.0207
1997-07;4.946599331968612;12.227951552371204;6.884116683725691
1997-11;7.457144498464687;11.117215967246672;9.12336745138178
1997-12;8.687496823609688;11.140593654042988;7.21043978164449
1998-01;7.334749895598772;11.201424769703173;6.644912998976459
1998-06;4.764034878539746;9.373285568065505;6.780009894234048
1998-12;6.895852705561242;7.920109177755032;5.06654042988741
1999-01;4.79366575366769;8.14234459228932;5.467422722620266
1999-03;4.7919906625725;8.715788468099623;5.611964517229614
1999-06;4.985729805527123;9.633212214261345;7.561907198908221
1999-08;4.761369578300921;10.200889116342543;8.978069600818833
1999-10;5.962874325486181;11.372965199590581;8.665116342545206
2000-06;9.43018364107813;17.03165609007165;15.37879495052883
2001-09;11.30546726032071;17.00447628795633;8.052780620948482
2003-02;8.803838599795291;15.201473899692935;24.619053006345954
2003-05;7.848520204025928;13.963189355168883;17.197829923166154
2003-09;9.31314459945411;14.289699761173658;14.024358278778571
2003-10;14.113627317980212;13.481541453428862;13.527215281746845
2004-03;10.063919417946092;13.578421016717844;15.016591624768061
2004-08;11.328824891504606;14.460147389969293;15.120611310127963
2004-11;18.083059830092115;14.312804503582395;15.985814971631923
2004-12;17.82042479665643;14.108196178778574;16.66971864478169
2005-03;15.377855233708628;14.447794609348344;18.00945635114664
2005-04;14.99899913613101;14.952085977482088;18.861829799680827
2005-07;16.156741180484474;17.091171954964175;21.615345404622456
2006-01;35.9393700174002;18.407648925281475;24.414544244908114
2006-06;18.831332412146025;19.161037188672807;16.71377283582525
2008-02;22.635098304332992;24.199679290344594;19.78080859774821
2008-06;29.311761583077445;26.479051518253154;27.80890643531276
2008-10;32.0797118321392;38.439119754350045;17.243824974411464
2009-10;12.34191516206073;20.96011600136472;9.266674582053907
2009-12;11.877029252814738;22.786653019447286;12.526122006141247
2010-01;13.904508154213579;23.954329580348;13.882275093824632
2010-08;17.89994759467758;29.898157625383824;11.390404298874103
2011-04;23.108607860798358;30.686714431934494;10.021964380757419
2011-07;20.803198986693957;38.27226202661207;10.556207471852609
2012-03;25.952203318910023;42.975219828231104;5.604616325877696
2012-05;23.60355798999538;44.96246060597988;6.47837673198896
2012-06;24.282082826592674;44.464737515068684;6.695826114962408
2013-01;28.269718810102205;41.98185344789945;8.79795921847106
2014-05;19.624883107973233;40.52050104656105;11.371562180958922
2016-09;19.43556339590065;22.1;8.763793103448277
2017-04;26.98409259189753;25.684655172413795;9.086206896551724
2017-07;20.311508132841528;25.963103448275863;8.73448275862069
2018-03;17.48;29.632758620689653;7.884482758620689
2018-04;17.6;29.574137931034482;8.206896551724139
2018-08;21.84;31.8896551724138;8.675862068965518
2018-12;25.1;35.172413793103445;11.841379310344827
2019-07;10.610344827586207;29.69137931034483;6.946551724137931
2019-11;15.094827586206899;29.42758620689655;7.767241379310345
2020-08;8.388620689655173;18.594482758620693;6.741379310344827
2021-02;18.04931034482759;28.955689655172414;15.68103448275862
2021-03;17.958448275862068;23.14051724137931;7.679310344827586
2021-04;20.948103448275866;24.260172413793104;7.796551724137932
2021-07;44.5356;30.3655;11.2552
1997-02;4.927710945069942;12.411925622654383;6.529496417604913
1997-05;5.277345408393039;12.038026612077788;6.6911115660184235
1997-06;4.74513899317639;12.219658478335038;6.670781303309451
1997-09;5.537111920846127;11.54412282497441;8.884907540088706
1998-05;4.561736262026611;9.286796315250767;6.624581371545547
1999-07;4.817256904810645;9.85730876833845;7.615512794268167
2000-02;7.142313749573525;14.607306721255545;9.194622995564654
2000-05;11.279030501535312;17.062845445240534;13.484544524053224
2000-09;12.280319059024222;19.174363698396455;19.800465370180824
2001-08;9.222951617877856;17.206150801774136;11.180208120095529
2001-12;14.998508096895256;16.333660525417944;9.218763903104742
2002-04;6.96891444421699;15.25255271238485;13.172659160696005
2002-11;11.828282702149437;15.54227226202661;13.76990788126919
2003-03;8.623528027294437;15.091166154895939;18.775106085022173
2003-08;7.052533161378369;14.304284885704536;15.225376689798702
2004-01;13.639317145001705;12.848498805868303;16.48603791755101
2004-04;10.127743458205389;13.97632923916752;16.272095708541624
2005-01;15.158667660184236;14.09532855680655;16.005541550899096
2005-05;15.046057596724665;15.427498464687819;17.387699706899834
2005-06;14.1755763671102;15.930355510064821;20.154525883202407
2005-08;15.917151647901738;17.20833162743091;26.72782139202844
2005-09;19.063026096895253;17.78778915046059;35.84192697186305
2006-02;29.16884293142272;20.119123848515862;21.39902346835149
2006-09;19.704379044353463;20.50727226202661;13.034532030346263
2006-10;24.742546946434665;19.480040941658135;16.131908904810643
2007-01;15.253624605595359;18.661870010235415;17.28217204397577
2007-09;16.00234744455817;19.862040259297167;14.967729102695325
2009-05;10.666166100307063;18.74616171954964;9.523050153531218
2009-06;10.426155680655066;17.478437393381096;9.260894063459569
2009-07;9.059358300921186;18.283828045035822;8.210044216990788
2010-04;12.307608393039917;27.938874104401226;10.193108904810643
2010-06;19.369409447287616;29.287505970658476;13.399592903445923
2010-11;22.33971095189355;27.072262026612073;9.308587512794267
2011-05;23.418978546571132;32.36031729785056;10.245344328639046
2011-11;24.636208533845227;42.140222140461056;8.142882197815133
2012-11;29.660177631630184;37.90335931509591;9.409030126821984
2012-12;27.994411503749998;38.340947503036055;8.680096527041153
2013-03;27.747158457028043;42.79111545932192;10.020537793485957
2013-04;26.462736132309065;42.4031973633439;10.914897099082967
2013-08;26.487995832840397;39.96254690447874;8.786636915536032
2014-08;17.999638602114274;40.30132883786095;10.011321204322511
2014-09;21.590176026989376;40.06402621537884;10.35956350687896
2015-02;24.093996139694543;40.1641703619121;8.621628192871183
2015-03;23.016688841636203;44.92473096123191;8.903150463605485
2015-04;23.071260336990782;32.32589087674227;8.255437885351988
2015-12;22.89104005514022;24.913793103448278;5.656896551724138
2016-01;23.569373974224675;23.00862068965517;6.682758620689655
2016-07;19.03975487168638;18.524137931034485;8.26551724137931
2016-10;20.18282259247759;22.431206896551725;8.73448275862069
2017-03;26.7296252443947;24.16931034482759;8.441379310344828
2017-06;23.762709377591097;26.036379310344827;8.73448275862069
2017-10;20.703652016064364;24.368620689655174;8.441379310344828
2018-07;19.96;30.599999999999998;8.294827586206898
2018-09;25.19;33.12068965517242;8.793103448275861
2018-11;24.5;34.29310344827586;11.987931034482758
2019-01;23.1;35.20172413793103;9.11551724137931
2019-04;12.4;30.101724137931036;7.767241379310345
2019-06;10.5;29.42758620689655;7.03448275862069
2019-10;14.822241379310345;29.26344827586207;6.8293103448275865
2019-12;13.541379310344828;29.486206896551728;6.506896551724139
2020-01;10.64844827586207;28.979137931034487;5.9206896551724135
2020-05;4.616379310344827;29.544827586206896;5.129310344827586
2020-09;11.58344827586207;17.246206896551726;5.627586206896551
2020-10;14.332758620689654;18.11086206896552;7.005172413793104
